BMI_CLASS,UNIT_NUM,STUB_NAME_NUM,STUB_LABEL_NUM,YEAR_NUM,AGE_NUM,ESTIMATE,SE,FLAG
1,1,4,3.131,5,1.0,0.0,0.0,2
1,1,4,3.131,6,1.0,0.0,0.0,2
1,1,4,3.131,7,1.0,0.0,0.0,2
1,1,4,3.131,8,1.0,50.2,2.2,0
1,1,4,3.131,9,1.0,47.4,1.9,0
1,1,4,3.131,10,1.0,41.9,1.7,1
1,1,4,3.132,1,1.0,0.0,0.0,2
1,1,4,3.132,2,1.0,0.0,0.0,2
1,1,4,3.132,3,1.0,0.0,0.0,2
1,1,4,3.132,4,1.0,0.0,0.0,2
1,1,4,3.132,5,1.0,0.0,0.0,2
1,1,4,3.132,6,1.0,0.0,0.0,2
1,1,4,3.132,7,1.0,0.0,0.0,2
1,1,4,3.132,8,1.0,60.5,1.7,0
1,1,4,3.132,9,1.0,59.3,1.7,0
1,1,4,3.132,10,1.0,53.7,1.8,1
1,1,3,3.24,1,1.0,0.0,0.0,2
1,1,3,3.24,2,1.0,0.0,0.0,2
1,1,3,3.24,3,1.0,0.0,0.0,2
1,1,3,3.24,4,1.0,0.0,0.0,2
1,1,3,3.24,5,1.0,0.0,0.0,2
1,1,3,3.24,6,1.0,21.1,1.1,0
1,1,3,3.24,7,1.0,21.0,1.0,0
1,1,3,3.24,8,1.0,20.9,1.2,0
1,1,3,3.24,9,1.0,18.8,1.1,0
1,1,3,3.24,10,1.0,16.5,0.8,1
1,1,4,3.241,1,1.0,0.0,0.0,2
1,1,4,3.241,2,1.0,0.0,0.0,2
1,1,4,3.241,3,1.0,0.0,0.0,2
1,1,4,3.241,4,1.0,0.0,0.0,2
1,1,4,3.241,5,1.0,0.0,0.0,2
1,1,4,3.241,6,1.0,19.0,1.4,0
1,1,4,3.241,7,1.0,19.3,1.4,0
1,1,4,3.241,8,1.0,19.5,1.5,0
1,1,4,3.241,9,1.0,17.5,1.3,0
1,1,4,3.241,10,1.0,13.7,1.0,1
1,1,4,3.242,1,1.0,0.0,0.0,2
1,1,4,3.242,2,1.0,0.0,0.0,2
1,1,4,3.242,3,1.0,0.0,0.0,2
1,1,4,3.242,4,1.0,0.0,0.0,2
1,1,4,3.242,5,1.0,0.0,0.0,2
1,1,4,3.242,6,1.0,23.5,1.2,0
1,1,4,3.242,7,1.0,22.9,1.1,0
1,1,4,3.242,8,1.0,22.3,1.6,0
1,1,4,3.242,9,1.0,20.4,1.6,0
1,1,4,3.242,10,1.0,19.6,1.3,1
1,1,3,3.25,1,1.0,30.1,1.0,0
1,1,3,3.25,2,1.0,26.9,1.5,0
1,1,3,3.25,3,1.0,25.9,2.0,0
1,1,3,3.25,4,1.0,24.4,1.5,0
1,1,3,3.25,5,1.0,22.7,1.3,0
1,1,3,3.25,6,1.0,19.6,1.2,0
1,1,3,3.25,7,1.0,19.0,1.4,0
1,1,3,3.25,8,1.0,17.7,1.3,0
1,1,3,3.25,9,1.0,15.9,1.2,0
1,1,3,3.25,10,1.0,14.6,1.2,1
1,1,4,3.251,1,1.0,30.2,1.0,0
1,1,5,5.1,4,1.0,32.1,1.8,0
1,1,4,3.251,2,1.0,26.5,1.8,0
1,1,4,3.251,3,1.0,25.3,2.2,0
1,1,4,3.251,4,1.0,23.8,1.9,0
1,1,4,3.251,5,1.0,21.8,1.7,0
1,1,4,3.251,6,1.0,18.5,1.6,0
1,1,4,3.251,7,1.0,17.5,1.8,0
1,1,4,3.251,8,1.0,16.5,1.7,0
1,1,4,3.251,9,1.0,16.9,1.4,0
1,1,4,3.251,10,1.0,13.9,1.5,1
1,1,4,3.252,1,1.0,29.8,1.6,0
1,1,4,3.252,2,1.0,27.5,1.9,0
1,1,4,3.252,3,1.0,26.5,2.3,0
1,1,4,3.252,4,1.0,25.1,1.7,0
1,1,4,3.252,5,1.0,24.1,1.6,0
1,1,4,3.252,6,1.0,21.3,1.3,0
1,1,4,3.252,7,1.0,20.9,1.3,0
1,1,4,3.252,8,1.0,19.1,1.8,0
1,1,4,3.252,9,1.0,15.0,1.8,0
1,1,4,3.252,10,1.0,15.5,2.1,1
1,1,5,5.1,1,1.0,37.5,1.6,0
1,1,5,5.1,2,1.0,32.7,1.7,0
1,1,5,5.1,3,1.0,34.3,1.9,0
1,1,5,5.1,5,1.0,29.1,1.3,0
1,1,5,5.1,6,1.0,27.3,1.4,0
1,1,5,5.1,7,1.0,27.3,1.3,0
1,1,5,5.1,8,1.0,28.1,1.3,0
1,1,5,5.1,9,1.0,26.4,1.5,0
1,1,5,5.1,10,1.0,24.3,1.5,1
1,1,5,5.2,1,1.0,39.3,1.4,0
1,1,5,5.2,2,1.0,30.5,1.5,0
1,1,5,5.2,3,1.0,31.9,1.2,0
1,1,5,5.2,4,1.0,31.3,1.3,0
1,1,5,5.2,5,1.0,28.3,1.5,0
1,1,5,5.2,6,1.0,27.6,1.4,0
1,1,5,5.2,7,1.0,26.5,1.4,0
1,1,5,5.2,8,1.0,24.6,1.1,0
1,1,5,5.2,9,1.0,24.4,1.1,0
1,1,5,5.2,10,1.0,25.4,1.5,1
1,1,5,5.3,1,1.0,41.8,1.2,0
1,1,5,5.3,2,1.0,29.6,1.5,0
1,1,5,5.3,3,1.0,29.4,1.4,0
1,1,5,5.3,4,1.0,29.7,1.4,0
1,1,5,5.3,5,1.0,30.0,1.3,0
1,1,5,5.3,6,1.0,29.7,1.1,0
1,1,5,5.3,7,1.0,30.0,1.3,0
1,1,5,5.3,8,1.0,27.5,1.4,0
1,1,5,5.3,9,1.0,26.0,1.3,0
1,1,5,5.3,10,1.0,24.6,1.4,1
1,1,5,5.4,1,1.0,45.5,1.7,0
1,1,5,5.4,2,1.0,36.5,1.2,0
1,1,5,5.4,3,1.0,35.1,1.2,0
1,1,5,5.4,4,1.0,33.7,1.6,0
1,1,5,5.4,5,1.0,33.5,1.5,0
1,1,5,5.4,6,1.0,32.1,1.4,0
1,1,5,5.4,7,1.0,32.0,1.6,0
1,1,5,5.4,8,1.0,33.4,1.4,0
1,1,5,5.4,9,1.0,31.6,1.7,0
